,Outside Air Temperature,Outside Air Relative Humidity,Solar Irradiation,Heating Water Flow Rate,Cooling Water Flow Rate,Heating Energy,Cooling Energy,Electrical Energy
2019-05-01 01:00:00,77.66410064697266,38.9678840637207,0.0,12.800544,52.14030456542971,28.512909412384033,368.0605945587158,187.80233099999998
2019-05-01 02:00:00,75.49458312988281,41.9795036315918,0.0,12.917199,54.7833099365234,29.075538396835327,372.93178939819336,143.655097
2019-05-01 03:00:00,73.281005859375,46.06498336791992,0.0,12.687024000000001,55.8605270385742,30.249422788619995,358.3431873321533,230.29986599999998
2019-05-01 04:00:00,72.97378540039062,50.78125381469727,0.0,13.207870999999999,55.4544334411621,30.5530686378479,364.9691696166992,185.96878
2019-05-01 05:00:00,73.28399658203125,53.4349250793457,6.0,12.648797,49.7347526550293,27.82874894142151,335.1533794403076,183.648803
2019-05-01 06:00:00,73.89240264892578,53.77752685546875,117.0,13.120987,50.173065185546896,31.72811985015869,390.8534698486328,182.539173
2019-05-01 07:00:00,73.88971710205078,55.08837890625,248.0,12.661522,48.88179016113279,37.59422492980957,404.6300525665283,175.178363
2019-05-01 08:00:00,73.88971710205078,57.24946975708008,387.0,12.962852999999999,50.03938293457029,37.549235105514526,393.4776725769043,195.71590299999997
2019-05-01 09:00:00,72.96177673339844,57.55849075317383,613.0,13.230898000000002,56.80232238769529,37.51667666435242,397.5424041748047,196.99054699999996
2019-05-01 10:00:00,72.04460144042969,59.25227355957031,783.0,12.91962,61.2046890258789,37.90424299240112,376.0415287017822,214.351109
2019-05-01 11:00:00,70.8290023803711,60.92144775390625,786.0,13.082491000000001,63.6957473754883,35.47696852684021,352.1275825500488,227.27807199999998
2019-05-01 12:00:00,71.13330841064453,62.43879318237305,704.0,13.008797999999999,72.4008560180664,33.86094903945923,348.3301830291748,229.62589699999995
2019-05-01 13:00:00,73.32491302490234,55.73869705200195,787.0,6.046435,83.0519180297852,35.059826612472534,372.232271194458,208.98722299999994
2019-05-01 14:00:00,74.86798858642578,52.44683837890625,411.0,4.9571157,70.0759658813477,34.89305353164673,411.39142417907715,251.1362999999999
2019-05-01 15:00:00,77.78609466552734,48.61577224731445,602.0,5.1456947,62.6237602233887,34.87446713447571,436.600980758667,249.79819999999987
2019-05-01 16:00:00,79.9281997680664,48.29219436645508,245.0,5.593168299999999,79.0609970092773,35.03013372421265,462.59918212890625,223.25188099999986
2019-05-01 17:00:00,81.3332290649414,46.02663803100586,54.0,6.115176,77.0870742797852,34.385974168777466,459.6799659729004,236.46014399999987
2019-05-01 18:00:00,83.19232940673828,43.26345825195313,33.0,9.359110000000001,76.2020797729492,31.277323722839355,432.1691093444824,233.5648739999999
2019-05-01 19:00:00,83.23514556884766,41.18037796020508,0.0,13.173084,70.7096328735352,20.98936152458191,521.2374725341797,207.189295
2019-05-01 20:00:00,82.2626953125,42.62416076660156,0.0,13.108089999999999,67.3044357299805,20.103488564491272,535.6251831054688,197.66533
2019-05-01 21:00:00,81.99137878417969,43.6721305847168,0.0,13.163447,65.85751342773439,21.298524141311646,561.0461196899414,197.896672
2019-05-01 22:00:00,80.9872055053711,43.76330947875977,0.0,13.353311999999999,59.02680969238279,23.873586177825928,574.7416801452637,184.11680700000002
2019-05-01 23:00:00,79.15996551513672,47.33106994628906,0.0,12.753805,48.8116226196289,27.574869632720947,536.2821998596191,181.911064
2019-05-02 00:00:00,68.09107208251953,77.37744903564453,0.0,13.441572,55.9294776916504,38.25283360481262,475.9302215576172,180.49188900000001
2019-05-02 01:00:00,68.10872650146484,78.82302856445312,0.0,12.880164,54.5790214538574,40.2382493019104,457.26221466064453,177.30221699999998
2019-05-02 02:00:00,67.79379272460939,79.73316955566406,0.0,12.840519,53.769283294677706,40.76781988143921,423.2927551269531,184.11926900000006
2019-05-02 03:00:00,67.19209289550781,80.08517456054688,0.0,12.916069,53.563350677490206,40.09619069099426,411.49359130859375,136.88554400000007
2019-05-02 04:00:00,66.88301086425781,80.35769653320312,0.0,13.198483,50.847747802734396,38.743728160858154,393.9571475982666,222.0804270000001
2019-05-02 05:00:00,66.25719451904297,80.36327362060547,8.0,13.293348000000002,49.594699859619105,36.152517318725586,387.12973403930664,134.45090700000014
2019-05-02 06:00:00,66.23826599121094,81.90499114990234,147.0,13.265718,51.3307037353516,37.6667377948761,372.55498123168945,226.90014300000013
2019-05-02 07:00:00,65.93532562255861,82.87134552001953,361.0,13.333256,45.291900634765604,36.42660570144653,385.01038551330566,170.70177300000012
2019-05-02 08:00:00,65.29087066650389,83.87350463867188,588.0,12.855583,52.272800445556605,36.505691051483154,352.8846321105957,184.7105230000001
2019-05-02 09:00:00,64.94612121582031,83.65534210205078,478.0,13.307642999999999,57.6765022277832,36.06144738197327,343.8815975189209,201.86226800000009
2019-05-02 10:00:00,64.32434844970703,82.91190338134766,610.0,11.29295,75.8051528930664,37.5628707408905,344.71543884277344,218.84898700000005
2019-05-02 11:00:00,64.32434844970703,81.10469818115234,599.0,10.858138,81.1828308105469,39.593730211257935,347.9231300354004,216.685835
2019-05-02 12:00:00,66.58737945556639,78.78284454345703,757.0,7.275657700000001,91.8807830810547,39.8467435836792,325.4464626312256,232.46793699999998
2019-05-02 13:00:00,73.20512390136719,72.5508804321289,617.0,7.6684747,84.0198440551758,37.578819036483765,344.39277839660645,248.67833400000004
2019-05-02 14:00:00,76.06129455566406,62.55392837524414,726.0,7.757882,78.7524719238281,36.22415113449097,394.0751953125,252.95347500000003
2019-05-02 15:00:00,78.21800231933594,60.37241744995117,423.0,7.5116796,79.7145767211914,32.85454320907593,466.4383544921875,238.36043200000006
2019-05-02 16:00:00,80.57878112792969,57.12026977539063,402.0,7.716151700000001,82.1443862915039,31.0582492351532,543.2050933837891,222.100488
2019-05-02 17:00:00,78.77639770507812,64.32935333251953,208.0,9.990392,82.5153121948242,28.374783515930176,580.330135345459,238.52012000000005
